dataset,id,mom_id,origin_site,urb_cat,sex,age,round,treat,x_treat,enclo,svl,forearm,hindlimb,foot
cross_foster,7025,BW002,BW,n,J,1,1,N,nN,N1,49,15.72,25.76,20.86
cross_foster,7025,BW002,BW,n,J,56,2,N,nN,N1,69,20.68,33.46,26.35
cross_foster,7025,BW002,BW,n,J,117,3,N,nN,N1,74,20.94,37.63,28.02
cross_foster,7025,BW002,BW,n,J,231,4,N,nN,N1,72,22.21,35.82,28.16
cross_foster,7025,BW002,BW,n,J,305,5,N,nN,N1,85,25.28,42.32,32.32
cross_foster,7025,BW002,BW,n,J,364,6,N,nN,N1,94,28.62,46.02,35.57
cross_foster,7211,BW004,BW,n,J,4,1,U,nU,U1,48.5,15.44,25.26,20.31
cross_foster,7218,BW004,BW,n,J,4,1,N,nN,N1,46.5,15.73,25.87,18.62
cross_foster,7218,BW004,BW,n,J,59,2,N,nN,N1,63,18.92,31.32,24.31
cross_foster,10551,BW002,BW,n,J,0,1,N,nN,N2,48,15.33,24.62,18.66
cross_foster,10551,BW002,BW,n,J,55,2,N,nN,N2,65,19.64,31.97,24.28
cross_foster,10555,BW003,BW,n,J,3,1,N,nN,N2,51.5,15.77,26.18,21.17
cross_foster,10555,BW003,BW,n,J,58,2,N,nN,N2,73,21.84,34.51,28.24
cross_foster,10565,BW003,BW,n,J,2,1,U,nU,U1,50,16.18,26.6,19.96
cross_foster,10565,BW003,BW,n,J,57,2,U,nU,U1,67,19,31.85,25.02
cross_foster,10565,BW003,BW,n,J,118,3,U,nU,U1,71,19.91,34.37,26.8
cross_foster,10565,BW003,BW,n,J,232,4,U,nU,U1,68.5,22.05,34.64,26.14
cross_foster,10565,BW003,BW,n,J,306,5,U,nU,U1,77,24.41,36.65,28.33
cross_foster,10565,BW003,BW,n,J,365,6,U,nU,U1,78,22.82,38.86,29.39
cross_foster,10566,BW002,BW,n,J,1,1,U,nU,U3,48,14.86,24.76,20.41
cross_foster,10566,BW002,BW,n,J,56,2,U,nU,U3,66,19.95,33.92,26.81
cross_foster,10566,BW002,BW,n,J,117,3,U,nU,U3,70,21.07,34.46,25.9
cross_foster,10566,BW002,BW,n,J,231,4,U,nU,U3,69,19.74,34.84,27.47
cross_foster,10566,BW002,BW,n,J,305,5,U,nU,U3,77,23.22,38.41,29.64
cross_foster,10566,BW002,BW,n,J,364,6,U,nU,U3,79,33.95,48.66,35.07
cross_foster,10592,BW003,BW,n,J,3,1,U,nU,U3,49.5,15.85,25.58,21.8
cross_foster,10592,BW003,BW,n,J,58,2,U,nU,U3,68,20.83,35.65,27.83
cross_foster,10592,BW003,BW,n,J,119,3,U,nU,U3,75,23.52,37.69,30.37
